Colored Noise Simulation And Characterization And Effects On Attitude Accuracy,Lily Chen,,Phase I,General Sciences Corp,49921,,GSFC
Investigation Of The Use Of Perfluorocarbons As Fire Suppression Agents,J. Thomas Hughes,,Phase I,Hughes Assoc Inc,49806,,KSC
Novel Polarization Preserving Fiberoptic Sensor For High Temperature Environments,Charles Wrigley,,Phase I,Quantex Corp,49847,,LaRC
Spacecraft Supercomputer,Preston Burch,,Phase I,Omitron Inc,49848,,GSFC
Universal Book Management System,Steve Hu,,Phase I,Advanced Applications Corp,49994,,GSFC
Neural Networks To Monitor Space Station Distributed System,Kuoyih Chen,,Phase I,ALS Co,48200,,JSC
The Development Of A General Purpose Nonlinear Dynamics Analysis Package,Daniel Florio,,Phase I,Swales & Assoc Inc,49436,,GSFC
Six Degree Of Freedom Active Vibration Damping For Space Applications,Leonard Haynes,,Phase I,Intelligent Automation Inc.,49373,,JPL
An Ultrasensitive Laser Microprobe for Detection of Surface Contamination,C. Paul Christensen,,Phase II,Potomac Photonics Inc,499970,,JSC
Six-Degree-of-Freedom Active Vibration Damping for Space Applications,Leonard Haynes,,Phase II,Intelligent Automation Inc.,498552,,JPL
Transient Response of Nonlinear Structures,Ronald Luzier,,Phase II,Swales & Assoc Inc,487222,,GSFC
Non-Ozone-Depleting Fire Suppressants,J. Thomas Hughes,,Phase II,Hughes Assoc Inc,498099,,KSC
Spacecraft Supercomputer Prototype,Frederick Hawkins,,Phase II,Omitron Inc,492899,,GSFC
An Ultrasensitive Microprobe Detector For Surface Contamination,C. Paul Christensen,,Phase I,Potomac Photonics Inc,49950,,JSC
