All Electric 6-Dof Motion Platform,Bob Culpepper,,Phase I,Lincom Corp,68191,,JSC
Use Of Laptop Computers For Future Spacecraft Crew Work Stations,Edelmiro Muniz,,Phase I,Muniz Engineering Inc,67043,,JSC
Fuzzy Logic Intelligent Diagnostic System,Rose Zarcaro,,Phase I,Geocontrol Systems Inc,64856,,JSC
Engineered Bioremediation Of Contaminated Soils Through Enhancement Of Microbial Populations,Oliver Murphy,,Phase I,Lynntech Inc.,70000,,KSC
Enhancement Of Heat Transfer With Perforated Ribs,Oliver Murphy,,Phase I,Lynntech Inc.,70000,,GRC
Wireless Integrated Sensor Data Processor,Karl Kiefer,,Phase I,Invocon Inc.,69900,,AFRC
High Precision Fluid Metering And Deceleration Apparatus For Microgravity Applications,David Wallace,,Phase I,Microfab Technologies Inc,70000,,GRC
Novel Rapid Prototyping Apparatus Using Liquid Metal Droplets,David Wallace,,Phase I,Microfab Technologies Inc,48760,,MSFC
A Synergistic Approach To Grid And Model Geometry,Dale Anderson,,Phase I,MDA Engineering Inc,68939,,ARC
Internet Knowledge Robot,Bob Culpepper,,Phase I,Lincom Corp,68379,,JSC
Automatic Video Abstraction,Clifford Kurtzman,,Phase I,The Tenagra Corp,69444,,JSC
Human-Machine Interface Providing Live Human Representation And Interactivity In A Virtual Reality Environment,Joe Martin,,Phase I,Cybersim Systems Inc,65195,,JSC
A Computer-Based Interactive Multi-Media Teaching System With Voice Comparison Capability,Laurance Armour,,Phase I,Interactive Educational Technology Inc,69071,,JSC
Injection Molded Polymer Composite General Aviation Aircraft Structures With Integral Structural Foam Cores,Monte Fellingham,,Phase I,Texas Research Institute Austin Inc.,67827,,LaRC
All Electric 6-Dof Motion Platform,Bob Culpepper,,Phase II,Lincom Corp,592513,,JSC
Engineered Bioremediation Of Contaminated Soils Through Enhancement Of Microbial Populations,Oliver Murphy,,Phase II,Lynntech Inc.,539066,,KSC
Wireless Integrated Sensor Data Processor,Karl Kiefer,,Phase II,Invocon Inc.,585770,,AFRC
Fuzzy Logic Intelligent Diagnostic System,Rose Zarcaro,,Phase II,Geocontrol Systems Inc,588993,,JSC
Internet Knowledge Robot,Bob Culpepper,,Phase II,Lincom Corp,599915,,JSC
GENERAL AVIATION PILOT ADVISORY AND TRAINING SYSTEM (GAPATS),PAULA DEWITTE,,Phase I,Knowledge Based Systems Inc.,99954,Small Business Technology Transfer,LaRC
DISTRIBUTED ENVIRONMENT FOR INTERACTIVE DOCUMENT AND DATA REVIEW,JEROME YEH,,Phase I,Diginet Research Inc,100000,Small Business Technology Transfer,GSFC
GENERAL AVIATION PILOT ADVISORY AND TRAINING SYSTEM (GAPATS),PAULA DEWITTE,,Phase II,Knowledge Based Systems Inc.,499975,Small Business Technology Transfer,LaRC
DISTRIBUTED ENVIRONMENT FOR INTERACTIVE DOCUMENT AND DATA REVIEW,JEROME YEH,,Phase II,Diginet Research Inc,492752,Small Business Technology Transfer,GSFC
Knowledge-Based Automatic Re-Engineering,Francis Gutowski,,Phase I,The Analytix Group,70000,,GSFC
