Multipurpose Multiaxial Isokinetic Dynamometer,Leonard Haynes,,Phase I,Intelligent Automation Inc.,69909,,JSC
Fuzzy Logic Control Of Docking And Berthing Using Multiple Integrated Sensors,Leonard Haynes,,Phase I,Intelligent Automation Inc.,69567,,JSC
H-Infinity Robust Adaptive Controller For Reusable Launch Vehicle,Leonard Haynes,,Phase I,Intelligent Automation Inc.,69758,,MSFC
A Comprehensive Approach To Using Data From Optical Altimetry Sensors,Anoop Mehta,,Phase I,Science Systems & Applications,69992,,GSFC
Micro-Miniaturized Ultra-High Vacuum Pump,David Salzman,,Phase I,Polychip Inc,70000,,KSC
The Origin And Significance Of Electrical Stratospheric Phenomena,Leonard Arnowitz,,Phase I,IDEA LLC,70000,,GSFC
Computer Code To Predict Fluid Flow Stability Of Capillary Pumped Loops,Triem Hoang,,Phase I,TTH Research Inc.,69999,,GSFC
Cost Minimization And Schedule Optimization Via Cn&amp;C Avionics Interface Standardization,Raymond Welch,,Phase I,Welch Engineering Ltd,70000,,GSFC
Use Of Unmanned Aerial Vehicles (Uavs) For Earth Remote Sensing,Jay Willmott,,Phase I,BAI Aerosystems Inc,66952,,GSFC
Novel Low-Temperature Ir-Re Coating For Oxidation Resistant Carbon Fibers,Sharon Fehrenbacher,,Phase I,Ceramic Composites Inc.,69991,,JSC
An Architecture For Autonomous Spacecraft Engineering Data,John Allen,,Phase I,Daedalian System Corp,61897,,GSFC
High Efficiency Doherty Power Amplifier For 32 Ghz Transmitter Application,Krishna Pande,,Phase I,Synoptel Inc,69022,,JPL
Commercial Software For Fusion Of Fine Res. Optical And Sar Imagery,Barton Huxtable,,Phase I,User Systems Inc,70000,,SSC
Thermal Spray Of Titanuim Adherends For High-Temperature Adhesive Bonding,Chester Dacres,,Phase I,DACCO SCI Inc,69414,,LaRC
Uv Laser Micromachining And Replication For The Low Cost Production Of Micromechanical Components,C. Paul Christensen,,Phase I,Potomac Photonics Inc,69928,,JPL
Real-Time Health Monitoring Of Flight Critical Systems Using Fuzzy Cmac,Leonard Haynes,,Phase I,Intelligent Automation Inc.,69673,,AFRC
Zero Mach Number Approach To The Calculations Of Near-Critical Fluids,Jacob Krispin,,Phase I,Krispin Technologies Inc.,70000,,GRC
A New Material For Ultra-Quiet Precision Structures,Leonard Haynes,,Phase I,Intelligent Automation Inc.,69993,,JPL
MULTIPURPOSE MULTIAXIAL ISOKINETIC DYNAMOMETER,Leonard Haynes,,Phase II,Intelligent Automation Inc.,600000,,JSC
THE ORIGIN AND SIGNIFICANCE OF ELECTRICAL STRATOSPHERIC PHENOMENA,Leonard Arnowitz,,Phase II,IDEA LLC,597416,,GSFC
REAL-TIME HEALTH MONITORING OF FLIGHT CRITICAL SYSTEMS USING FUZZY CMAC,Leonard Haynes,,Phase II,Intelligent Automation Inc.,600000,,AFRC
LOW COST LAMINATED MATRIX C/SIC AND HFC-TAC/C COMPOSITES FOR HIGH PERFORMANCE THRUST CHAMBERS,SHARON FEHRENBACHER,,Phase I,Ceramic Composites Inc.,99957,Small Business Technology Transfer,MSFC
SUPERLATTICE SOLAR CELLS (SLSC),JOHN ANDERES,,Phase I,Swales & Assoc Inc,99992,Small Business Technology Transfer,GSFC
